,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof
2018-12-27,0.0009099181073703999,0.0005764796310532283,0.004836841746713505,0.00031501437253078635,0.00013545613106558108,-0.0006816632583518389,0.00013226638449825856,-0.0001687453019773022,0.0006570552678837606
2018-12-28,0.0013636363636364557,0.0005761474937582278,0.004813559322034422,0.00031491516972614875,0.0001354377851874311,-0.0006821282401103801,0.00013224889241558735,-0.00016877378176027857,0.000722645905225816
2019-01-02,0.0013617793917384269,0.001279590531030106,-0.0026763826102619293,2.1862224262703123e-05,0.00013541944427752917,-3.709749220948133e-05,0.001454545454545375,0.009667766439039216,0.001254894001483653
2019-01-03,0.0009066183136900996,0.0012779552715653786,-0.0026835648565775028,2.1861746316353958e-05,0.002298561770358143,-3.70988684844642e-05,0.001452432824981864,0.009575195683562798,0.0014465805122966802
2019-01-04,-0.00036231884057968955,0.0012763241863433805,-0.0026907857546653036,2.1861268390876987e-05,0.002293290500485101,-3.7100244861587584e-05,0.0014503263234226793,0.009484380880692367,0.0012453218811897871
2019-01-07,-0.00036245016310254563,0.0005736137667302632,-0.0021629710243497025,0.00011804826862538143,9.3600000000027e-05,-3.710162134085149e-05,0.0016588769666250336,-0.0029378868093357102,-0.000291632755784832
2019-01-08,-0.00036258158085589187,0.000573284922606554,-0.0021676596092750078,0.00011803433487633797,9.359123985985818e-05,-3.710299792214489e-05,0.0016561296512926926,-0.002946543420383585,-0.00029331408942028794
2019-01-09,-0.00036271309394264595,0.0005729564553096367,-0.0021723685648697977,0.00011802040441666328,9.358248135971081e-05,-3.710437460591187e-05,0.001653391420735506,-0.002955251196351538,-0.0002950016253123744
2019-01-10,-0.00036284470246727984,0.0005726283641915852,-0.0021770980241799798,0.00011800647724435898,9.357372449803059e-05,-3.7105751391375286e-05,0.0016506622299661267,-0.0029640105922003057,-0.0002966954268736777
2019-01-11,0.0002352624857160368,0.0005723006486073601,-0.0021818481214143093,0.00011799255335898096,9.356496927548363e-05,-3.7107128279312285e-05,0.0016479420342929707,-0.0029728220682995188,-0.000208659724306165
2019-01-14,0.00023520715029756722,0.00038131553860809575,0.0018978202571682257,0.00011797863275853082,0.0005657352359096368,-3.71085052693898e-05,-0.0006528693608409686,0.0024973512940820175,0.0005466065801698894
2019-01-15,0.00023515184090294738,0.00038117019249095385,0.0018942253579121715,0.00011796471544300857,0.0004679999999983586,-3.710988236160784e-05,-0.0006532958777029085,0.0024911300671850434,0.0005333333668244456
2019-01-16,0.00023509655751463576,0.0003810249571347679,0.0018906440520058965,0.00011795080141019376,8.132560740170547e-05,-3.7111259556077414e-05,-0.0006537229522128873,0.0024849397590360756,0.0004839471752483948
2019-01-17,0.00023504130011420266,0.0003808798324127505,0.0018870762624947357,0.00011793689065919821,8.131899408492238e-05,-3.711263685279853e-05,-0.0006541505854646967,0.0024787801397130327,0.00048289884161844545
2019-01-18,0.00023498606868299632,0.00038073481819900223,0.0018835219130028946,0.00011792298318957783,8.131238184416745e-05,-3.711401425177119e-05,-0.0006545787785561252,0.00247265098156757,0.0004818548631251862
