,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof,沪深300,组合基金
2019-03-07,1.1251023391462391,1.0618072993580414,1.1798973837041773,1.103933264318881,1.0838901995424015,1.1328581862243978,1.13424148744803,1.1638126613333548,1.1416740933933252,0.9563418666681145,0.9861768392191177
2019-03-08,1.1330458519441207,1.061713850147687,1.177333143444263,1.105425173580195,1.0858832859621552,1.1341977709531328,1.134007988070695,1.1631902270224046,1.1431461477060778,0.9166264670067994,0.983433993905243
2019-03-11,1.1365484789143485,1.0688166538860049,1.1746277123923754,1.1076915346700855,1.086906431929005,1.1405522860033008,1.138497413268567,1.1625674050456862,1.146217445168904,0.9364127737998156,0.98416051180872
2019-03-12,1.1487648838009106,1.0758693636113206,1.171914942127577,1.1099527709819834,1.0881491009694133,1.1468666761661463,1.142966773607515,1.1619441949200056,1.1506062970489976,0.9432225165577615,0.9853532104189668
2019-03-13,1.156092470007807,1.0828726809721756,1.1691947927223558,1.112208905640268,1.087873732122674,1.1531414449904536,1.1474162476436767,1.1613205961612638,1.1540553162214695,0.9349250209847789,0.9848870582461797
2019-03-14,1.1633667532769554,1.0898272929780322,1.1664672239224863,1.114459961613154,1.089174224578445,1.1593770866051574,1.1518460115603049,1.160696608284457,1.1576767610325032,0.928024191542672,0.9844206886742033
2019-03-15,1.1701636946533363,1.0967338724036955,1.1637321951434525,1.1167059617140978,1.0905162558990582,1.1655740859528425,1.156256239209628,1.1600722308036715,1.1612154251216076,0.940599593936622,0.9897086766466228
2019-03-18,1.1718514583664161,1.0952898290823958,1.16160366464816,1.118481109643092,1.0918859226854198,1.1675189806043809,1.1563323813416078,1.1587780694053822,1.1616021642413648,0.9691042668338182,0.9916167783432861
2019-03-19,1.1726939183495668,1.0938436974844206,1.1594705938466179,1.120253112005762,1.093925855197162,1.1694600999832212,1.1564085176764047,1.1574822309830282,1.1619439959763587,0.9644855870129576,0.9923373877729751
2019-03-20,1.1752191708748194,1.0923954715611766,1.1573329633278315,1.12202197993029,1.095255663235462,1.171397458717479,1.1564846482149014,1.156184711184666,1.162447586294287,0.9648716108629718,0.9925431279231656
2019-03-21,1.1785776931250296,1.0909451452377539,1.1551907535560595,1.123787724485911,1.0979117472302156,1.1733310713504135,1.1565607729579805,1.154885505641389,1.163240057089845,0.9652496639677002,0.9926459768381095
2019-03-22,1.1794145132087115,1.0894927124127718,1.1530439448697414,1.125550356683326,1.09871425291788,1.1752609523410844,1.156636891906524,1.1535846099672407,1.1634206810216934,0.9644443242263994,0.9964509953490104
2019-03-25,1.1835951152154003,1.0900381669582262,1.1559125147221745,1.128158455516545,1.0988991483254613,1.176866088777682,1.1559645590383265,1.1560550396722866,1.1651861509190327,0.9407159085552637,0.9959899770107253
2019-03-26,1.184427754682511,1.0905833241452152,1.1587728794186725,1.1307597698648468,1.0989049860484357,1.1784686528802466,1.1552917738345232,1.1585193813943384,1.1664242911629166,0.9293902539035697,0.9952212587203548
2019-03-27,1.1860916481933264,1.091128184297776,1.1616250857648311,1.133354334933808,1.1000764156206109,1.1800686528802473,1.1546185356860552,1.1609776650653756,1.1679300787294378,0.9409969817521497,0.9957341318355462
2019-03-28,1.1869222129773793,1.091672747739417,1.1644691801668867,1.135942185655682,1.1014233439243788,1.1816660969697048,1.1539448439826323,1.163429920397173,1.1693300777579587,0.936992590010974,0.9958879148989048
2019-03-29,1.190241715052068,1.092217014793118,1.1673052086362485,1.1385233566922257,1.1016446185047821,1.1832609933014437,1.1532706981127296,1.165876176883459,1.170959997187671,0.9755989627177651,1.0002956848748157
2019-04-01,1.1935502344896198,1.0929221623704324,1.166540422776289,1.1400563013146012,1.0952116100885052,1.1860476175052657,1.154479887955535,1.1727718361306674,1.172101539219242,1.0018337458204885,1.0022347571818013
2019-04-02,1.1931380333354564,1.0936268130650166,1.1657750515712548,1.141586899614544,1.0959479439661108,1.188826498013404,1.155687617424134,1.1796202709052932,1.1735746845525385,1.0011694160512175,1.002998699122214
2019-04-03,1.192725662201436,1.0943309675766355,1.165009094124446,1.143115158763631,1.0958015662295844,1.1915976777442037,1.1568938900417456,1.1864221236351522,1.1749310809854343,1.0139788558050506,1.003405823804148
2019-04-04,1.195750964731689,1.0950346266035753,1.1642425495371025,1.1446410859006102,1.0961216924061392,1.1943611992601928,1.158098709318854,1.193178023727525,1.1768551275888173,1.0239411646142478,1.0106802159091433
2019-04-08,1.1987671424119744,1.0957377908426515,1.164160722056708,1.1461646881315994,1.0963636615667838,1.1979832465042863,1.1615821471553225,1.1980283403654064,1.1790022250866852,1.022710313579225,1.0114882559071232
2019-04-09,1.2017742501211048,1.0964404609892084,1.1640788878800292,1.1476859725302844,1.0958466751488936,1.2015922218691057,1.1650534927751155,1.2028552449874899,1.1810472169238804,1.027196132721842,1.0119928731549408
2019-04-10,1.2047723422442993,1.097142637737127,1.16399704700597,1.1492049461381182,1.0950756741553749,1.2051882193675414,1.1685128298403396,1.207658962523197,1.1830532748287892,1.0297529181408038,1.0124972358926216
2019-04-11,1.207761472679082,1.097844321778827,1.1639151994334336,1.1507216159645135,1.0936262459177053,1.2087713320019073,1.1719602411478487,1.2124397146759542,1.1849674006827802,1.0081490902959245,1.0115898406211592
2019-04-12,1.2107416948410976,1.0985455138052718,1.1638333451613239,1.15223598898704,1.0942287686883683,1.2123416517783734,1.1753958086411338,1.217197719984589,1.187130944604649,1.0059077342755323,1.0102275115430017
2019-04-15,1.214793558698472,1.0994464147061729,1.1643381544934752,1.154131493239774,1.0947370855339877,1.2145071583522327,1.1769271831431258,1.215328823757511,1.1885158917024699,1.0026233903169701,1.0098233078243277
2019-04-16,1.2188290712085608,1.1003465047151737,1.1648427091217415,1.1560234113536771,1.0967966768985562,1.2166679856403946,1.1784562161229999,1.213456428217473,1.1900904140651767,1.0303606422991007,1.0104804044680802
2019-04-17,1.2228483638130623,1.1012457852907134,1.1653470093030176,1.1579117568724877,1.097032633576128,1.2188241538215128,1.1799829147303529,1.211580520235696,1.1914326721245836,1.0307155308273903,1.0109855315075307
2019-04-18,1.226851566375112,1.102144257887299,1.165851055293809,1.1597965432633637,1.0972685345912798,1.2209756829439964,1.181507286082086,1.2097010866093783,1.1927706370641256,1.0270064263950593,1.0109350443060363
2019-04-19,1.230838807204458,1.1030419239555216,1.166354847350234,1.1616777839174564,1.0980053077587022,1.2231225929271279,1.1830293372626037,1.2078181140611357,1.1941669483927901,1.038924168679101,1.01522667310539
2019-04-22,1.2303622384991364,1.1032212961528312,1.1705548473502332,1.1631462480484145,1.100132196541121,1.2226635263624763,1.1817196442991147,1.20997414242993,1.1950075615865932,1.0158693297110841,1.0149753031390736
2019-04-23,1.2298854425677952,1.1034006361815254,1.174737281128364,1.1646125589544023,1.100952381646402,1.2222042489589249,1.18040823379051,1.2121255323410436,1.1956821049101358,1.0142298266295637,1.0146232967023845
2019-04-24,1.2294084191936496,1.1035799440531413,1.178902295011743,1.166076722940769,1.1014864244475104,1.2217447605227176,1.179095101226061,1.214272303709893,1.1963181654365376,1.0169867244725648,1.0147742097261785
2019-04-25,1.2289311681596058,1.1037592197792079,1.1830500335067056,1.167538746285207,1.1026568096265112,1.221285060859831,1.1777802420772465,1.2164144763239073,1.1970310704523541,0.9950839878091156,1.01401975846373
2019-04-26,1.2284536892482576,1.1039384633712492,1.1871806393288917,1.1689986352379163,1.103825826605366,1.2208251497759743,1.1764636517976572,1.218552069843624,1.1977411226395565,0.9817525825191733,1.0064192148486901
