净值日期,产品2,产品1,产品6,new
2018-02-07,1.0251341129437685,1.1135823852754108,,1.089830381492554
2018-02-08,1.0273641882136737,1.1148306199726838,,1.0916922665477222
2018-02-09,1.0295893013138815,1.116077298522535,,1.093550466691546
2018-02-12,1.030707724918438,1.118166478441899,,1.0950329239141554
2018-02-13,1.0318248990490764,1.1202513027881038,,1.0965129668756313
2018-02-14,1.032940826494441,1.1223317896845748,,1.0979906041151608
2018-02-22,1.033163317425517,1.121273177109307,,1.097732681231358
2018-02-23,1.0333857588653905,1.120213442685852,,1.097474306722483
2018-02-26,1.0354049235566474,1.122135899515326,,1.0994572059655714
2018-02-27,1.0374200194374523,1.1240546675959993,,1.101436178921327
2018-02-28,1.0394310628729144,1.1259697610564692,,1.103411241116167
2018-03-01,1.041438070129608,1.1278811939443152,,1.1053824079845427
