净值日期,桃花岛量化对冲二号,泓倍期权套利1号,格量稳健一号,玉数,天演6号,品赋火炬,明汯,歆享富诚三期,fof,沪深300,组合基金
2017-08-09,,,,,1.0085185563179895,,1.0034528755533916,1.0077430780035599,1.0087229911797444,1.0798410233035172,1.0131917993440631
2017-08-10,,,,,1.0101223896777234,,1.0034728061947598,1.0063519810242276,1.0088005468536676,1.0757720444234553,1.013243893530352
2017-08-11,,,,,1.0117236548749162,,1.0034927364389052,1.0049589461983568,1.0088766003921568,1.0569720937743539,1.0127748259324993
2017-08-14,,,,,1.0125729872601577,,1.0061364511562463,1.0053567977997095,1.0101735666268017,1.0697824048161761,1.0129832569678805
2017-08-15,,,,,1.0134215988920574,,1.008773195074884,1.0057544911781147,1.0114679162697826,1.0728530512709016,1.013139555811269
2017-08-16,,,,,1.014269490992858,,1.0114030048585672,1.006152026459371,1.012759661991696,1.0715994783178187,1.013139555811269
2017-08-17,,,,,1.015116664781695,,1.014025916882548,1.0065494037691267,1.0140488163658872,1.0769363516517254,1.0133999860420102
2017-08-18,,,,,1.0159631214746083,,1.0166419672366,1.0069466232328803,1.0153353918694603,1.0778464993963577,1.0157902172709008
2017-08-21,,,,,1.015529862976834,,1.0175655823052816,1.0079386867249438,1.0158295318904504,1.0822089809854558,1.0160499575306412
2017-08-22,,,,,1.0150964166847698,,1.0184883450963447,1.0089297670024462,1.0163229974826176,1.0852231323059793,1.0162057774028688
2017-08-23,,,,,1.0146627824355483,,1.019410257181239,1.0099198660123474,1.0168157897644756,1.0862321603111655,1.0162057774028688
2017-08-24,,,,,1.0142289600660894,,1.0203313201270727,1.0109089856958289,1.0173079098510944,1.0804913278369042,1.0161018866958924
2017-08-25,,,,,1.0137949494131007,,1.0212515354966272,1.011897127988319,1.017799358854113,1.0965882783736887,1.0187957684759268
2017-08-28,,,,,1.0145637404399295,,1.0227763727495742,1.010709949515822,1.0181681754565393,1.1088088206472404,1.0191065044021788
2017-08-29,,,,,1.0153319408811523,,1.0242988884139181,1.0095213599754103,1.0185355509782577,1.1066781869858364,1.0192618482298508
2017-08-30,,,,,1.016099551643449,,1.025819089548222,1.0083313560087301,1.0189014869548978,1.1066155940744837,1.019417167929566
2017-08-31,,,,,1.0168665736314126,,1.027336983178907,1.0071399342454261,1.0192659849066792,1.1034210068198664,1.020038060980738
2017-09-01,,,,,1.0176330077475568,,1.028852576300446,1.0059470913030801,1.0196290463384583,1.1056269621159867,1.0227213779733586
2017-09-04,,,,,1.0188303539572692,,1.0314881841375032,1.0063445475828892,1.0210391831139847,1.109548306398573,1.0230824632926614
2017-09-05,,,,,1.0200262682435435,,1.0341168638058256,1.0067418459539659,1.0224464805558757,1.1125117110731302,1.0232371901996704
2017-09-06,,,,,1.0212207540272045,,1.0367386516337902,1.0071389865417342,1.0238509519556735,1.1105374030551014,1.0232371901996704
2017-09-07,,,,,1.0224138147168327,,1.0393535836647847,1.007535969471468,1.0252526105057924,1.1054249579851643,1.0229792455030133
2017-09-08,,,,,1.0236054537088233,,1.041961695660182,1.0079327948682935,1.0266514693005304,1.1044108413774367,1.0233402377158956
2017-09-11,,,,,1.0223928109299156,,1.042383418205086,1.0081311682069167,1.0264539536687367,1.1043219675912828,1.0234949247324987
2017-09-12,,,,,1.021178695863139,,1.0428049629750566,1.0083295022013634,1.0262558749012838,1.1075216090646811,1.0236495878247296
2017-09-13,,,,,1.019963104929095,,1.0432263301199112,1.0085277968672368,1.0260572318601784,1.1087395312581902,1.0237526859225696
2017-09-14,,,,,1.0187460345353134,,1.0436475197892774,1.0087260522201313,1.0258580234030048,1.1054366247004195,1.0237526859225696
2017-09-15,,,,,1.017527481076194,,1.0440685321325938,1.0089242682756319,1.025658248382904,1.105786375437767,1.0243194041090713
2017-09-18,,,,,1.0191365231075116,,1.0451390526732065,1.0087260129227373,1.0264853507892493,1.108867189563716,1.024473939729532
2017-09-19,,,,,1.0207429802817143,,1.0462084284251114,1.008527718256864,1.0273111968759938,1.1059914967357254,1.0245254489496822
2017-09-20,,,,,1.0223468608904065,,1.0472766618341114,1.0083293842624172,1.0281357902170758,1.1086772901378343,1.0247314433878325
2017-09-21,,,,,1.0239481731853604,,1.0483437553381796,1.008131010923794,1.028959134370542,1.1074734817257672,1.0246799421260515
2017-09-22,,,,,1.0255469253787703,,1.0494097113674934,1.0079325982253813,1.0297812328786458,1.1074500303625916,1.024216215827618
2017-09-25,,,,,1.0263651284489799,,1.0499424054679063,1.0093195607773924,1.0306938527861902,1.1022271134394501,1.0241131549186206
2017-09-26,,,,,1.0271826626102287,,1.0504748159563928,1.0107046023286388,1.0316055148531842,1.103009676162245,1.024267722387321
2017-09-27,,,,,1.0279995289553356,,1.0510069431347886,1.0120877281930925,1.0325162213158363,1.1031195892785435,1.0243707567492806
